,court_short_name,court_full_name,court_jurisdiction,jurisdiction
332,E.D. Tennessee,"District Court, E.D. Tennessee",FD,"Tennessee, TN"
333,M.D. Georgia,"District Court, M.D. Georgia",FD,"Georgia, GA"
334,M.D. Louisiana,"District Court, M.D. Louisiana",FD,"Louisiana, LA"
335,S.D. Indiana,"District Court, S.D. Indiana",FD,"Indiana, IN"
336,N.D. Alabama,"District Court, N.D. Alabama",FD,"Alabama, AL"
337,W.D. Oklahoma,"District Court, W.D. Oklahoma",FD,"Oklahoma, OK"
338,E.D. Texas,"District Court, E.D. Texas",FD,"Texas, TX"
339,M.D. North Carolina,"District Court, M.D. North Carolina",FD,"North Carolina, NC"
340,D. Wyoming,"District Court, D. Wyoming",FD,"Wyoming, WY"
341,N.D. Iowa,"District Court, N.D. Iowa",FD,"Iowa, IA"
342,N.D. Florida,"District Court, N.D. Florida",FD,"Florida, FL"
343,N.D. West Virginia,"District Court, N.D. West Virginia",FD,"West Virginia, WV"
344,D. Arizona,"District Court, D. Arizona",FD,"Arizona, AZ"
345,M.D. Alabama,"District Court, M.D. Alabama",FD,"Alabama, AL"
346,U.S. Circuit Court for the District of Western Missouri,U.S. Circuit Court for the District of Western Missouri,FA,"Missouri, MO"
347,S.D. Iowa,"District Court, S.D. Iowa",FD,"Iowa, IA"
348,U.S. Circuit Court for the District of Missouri,U.S. Circuit Court for the District of Missouri,FA,"Missouri, MO"
349,D. South Carolina,"District Court, D. South Carolina",FD,"South Carolina, SC"
350,U.S. Circuit Court for the District of Western Virginia,U.S. Circuit Court for the District of Western Virginia,FA,"Virginia, VA"
351,U.S. Circuit Court for the District of Middle Pennsylvania,U.S. Circuit Court for the District of Middle Pennsylvania,FA,"Pennsylvania, PA"
352,U.S. Circuit Court for the District of Western New York,U.S. Circuit Court for the District of Western New York,FA,"USA, Federal"
353,U.S. Circuit Court for the District of Northern California,U.S. Circuit Court for the District of Northern California,FA,"California, CA"
354,D. North Dakota,"District Court, D. North Dakota",FD,"North Dakota, ND"
355,D. New Hampshire,"District Court, D. New Hampshire",FD,"New Hampshire, NH"
356,D. South Dakota,"District Court, D. South Dakota",FD,"South Dakota, SD"
357,U.S. Circuit Court for the Southern District of Georgia,U.S. Circuit Court for the Southern District of Georgia,FA,"Georgia, GA"
358,U.S. Circuit Court for the District of Eastern Louisiana,U.S. Circuit Court for the District of Eastern Louisiana,FA,"Louisiana, LA"
359,United States Circuit Court for the Northern District of Florida,United States Circuit Court for the Northern District of Florida,F,"USA, Federal"
360,U.S. Circuit Court for the District of South Carolina,U.S. Circuit Court for the District of South Carolina,FA,"South Carolina, SC"
361,U.S. Circuit Court for the District of Kentucky,U.S. Circuit Court for the District of Kentucky,FA,"Kentucky, KY"
362,D. Washington,"District Court, D. Washington",FD,"Washington, WA"
363,E.D. Oklahoma,"District Court, E.D. Oklahoma",FD,"Oklahoma, OK"
364,D. Missouri,"District Court, D. Missouri",FD,"Missouri, MO"
365,C.D. Illinois,"District Court, C.D. Illinois",FD,"Illinois, IL"
366,Customs and Patent Appeals,Court of Customs and Patent Appeals,FS,"USA, Federal"
367,NYC Family Court,New York City Family Court,ST,"New York, NY"
368,New Jersey Tax Court,New Jersey Tax Court,SS,"New Jersey, NJ"
369,Mohegan Gaming Disputes Trial Court,Mohegan Gaming Disputes Trial Court,TRX,"Connecticut, CT"
370,Cherokee Nation Supreme Court,Cherokee Nation Supreme Court,TRS,"Oklahoma, OK"
371,Ho-Chunk Nation Trial Court,Ho-Chunk Nation Trial Court,TRT,"Wisconsin, WI"
372,United States District Court for the District of Arkansas,United States District Court for the District of Arkansas,FD,"Arkansas, AR"
373,Ohio Circuit Courts,Ohio Circuit Courts,ST,"Ohio, OH"
374,"Mass. Dist. Ct., App. Div.","Massachusetts District Court, Appellate Division",SA,"Massachusetts, MA"
375,U.S. Circuit Court for the District of New Jersey,U.S. Circuit Court for the District of New Jersey,FA,"New Jersey, NJ"
376,U.S. Circuit Court for the District of Vermont,U.S. Circuit Court for the District of Vermont,FA,"Vermont, VT"
377,U.S. Circuit Court for the District of Pennsylvania,U.S. Circuit Court for the District of Pennsylvania,FA,"Pennsylvania, PA"
378,U.S. Circuit Court for the Northern District of Illnois,U.S. Circuit Court for the Northern District of Illnois,FA,"Illinois, IL"
379,U.S. Circuit Court for the District of Northern Alabama,U.S. Circuit Court for the District of Northern Alabama,FA,"Alabama, AL"
380,U.S. Circuit Court for the District of Oregon,U.S. Circuit Court for the District of Oregon,FA,"Oregon, OR"
381,U.S. Circuit Court for the District of Eastern Arkansas,U.S. Circuit Court for the District of Eastern Arkansas,FA,"Arkansas, AR"
382,U.S. Circuit Court for the District of California,U.S. Circuit Court for the District of California,FA,"USA, Federal"
383,U.S. Circuit Court for the District of Arkansas,U.S. Circuit Court for the District of Arkansas,FA,"Arkansas, AR"
384,U.S. Circuit Court for the District of Nebraska,U.S. Circuit Court for the District of Nebraska,FA,"Nebraska, NE"
385,U.S. Circuit Court for the District of Maine,U.S. Circuit Court for the District of Maine,FA,"Maine, ME"
386,U.S. Circuit Court for the District of New Hampshire,U.S. Circuit Court for the District of New Hampshire,FA,"New Hampshire, NH"
387,U.S. Circuit Court for the District of Eastern Pennsylvania,U.S. Circuit Court for the District of Eastern Pennsylvania,FA,"Pennsylvania, PA"
388,U.S. Circuit Court for the District of Western Arkansas,U.S. Circuit Court for the District of Western Arkansas,FA,"Arkansas, AR"
389,U.S. Circuit Court for the District of Northern Iowa,U.S. Circuit Court for the District of Northern Iowa,FA,"USA, Federal"
390,U.S. Circuit Court for the District of Nevada,U.S. Circuit Court for the District of Nevada,FA,"Nevada, NV"
391,U.S. Circuit Court for the District of Northern Ohio,U.S. Circuit Court for the District of Northern Ohio,FA,"Ohio, OH"
392,U.S. Circuit Court for the Northern District of Georgia,U.S. Circuit Court for the Northern District of Georgia,FA,"Georgia, GA"
393,U.S. Circuit Court for the District of Southern California,U.S. Circuit Court for the District of Southern California,FA,"USA, Federal"
394,U.S. Circuit Court for the District of Eastern Washington,U.S. Circuit Court for the District of Eastern Washington,FA,"Washington, WA"
395,Circuit Court of Delaware,U.S. Circuit Court for the District of Delaware,FD,"USA, Federal"
396,U.S. Circuit Court for the District of Middle Tennessee,U.S. Circuit Court for the District of Middle Tennessee,FA,"Tennessee, TN"
397,U.S. Circuit Court for the District of Eastern North Carolina,U.S. Circuit Court for the District of Eastern North Carolina,FA,"North Carolina, NC"
398,U.S. Circuit Court for the Southern District of Iowa,U.S. Circuit Court for the Southern District of Iowa,FA,"USA, Federal"
399,U.S. Circuit Court for the District of Southern Mississippi,U.S. Circuit Court for the District of Southern Mississippi,FA,"Mississippi, MS"
400,U.S. Circuit Court for the District of Southern Alabama,U.S. Circuit Court for the District of Southern Alabama,FA,"Alabama, AL"
401,U.S. Circuit Court for the District of Montana,U.S. Circuit Court for the District of Montana,FA,"Montana, MT"
402,U.S. Circuit Court for the District of Western Washington,U.S. Circuit Court for the District of Western Washington,FA,"Washington, WA"
403,U.S. Circuit Court for the District of Western Michigan,U.S. Circuit Court for the District of Western Michigan,FA,"Michigan, MI"
404,U.S. Circuit Court for the District of Washington,U.S. Circuit Court for the District of Washington,FA,"Washington, WA"
405,U.S. Circuit Court for the District of Southern Ohio,U.S. Circuit Court for the District of Southern Ohio,FA,"Ohio, OH"
406,Allen Circuit Court,Allen Circuit Court,ST,"Indiana, IN"
407,Fulton Circuit Court,Fulton Circuit Court,ST,"Georgia, GA"
408,Butler Circuit Court,Butler Circuit Court,ST,"Kentucky, KY"
409,"Court of Common Pleas of Ohio, Franklin County, Civil Division","Court of Common Pleas of Ohio, Franklin County, Civil Division",ST,"Ohio, OH"
410,Greene County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Greene County",ST,"Pennsylvania, PA"
411,Monroe County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Monroe County",ST,"Pennsylvania, PA"
412,Montgomery County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Montgomery County",ST,"Pennsylvania, PA"
413,Fayette County Court,"Pennsylvania Court of Common Pleas, Fayette County",ST,"Pennsylvania, PA"
414,Washington County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Washington County",ST,"Pennsylvania, PA"
415,Jefferson County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Jefferson County",ST,"Pennsylvania, PA"
416,Mercer County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Mercer County",ST,"Pennsylvania, PA"
417,Adams County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Adams County",ST,"Pennsylvania, PA"
418,Erie County Court Common Pleas,"Pennsylvania Court of Common Pleas, Erie County",ST,"Pennsylvania, PA"
419,Delaware County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Delaware County",ST,"Pennsylvania, PA"
420,Lawrence County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Lawrence County",ST,"Pennsylvania, PA"
421,Wayne County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Wayne County",ST,"Pennsylvania, PA"
422,Indiana Super. Ct.,Indiana Superior Court,ST,"Indiana, IN"
423,Scioto County Court of Common Pleas,Scioto County Court of Common Pleas,ST,"Ohio, OH"
424,"Highland County Court, Ohio","Highland County Court, Ohio",ST,"Ohio, OH"
425,Grand Ronde Court of Appeals,Grand Ronde Court of Appeals,TRA,"Oregon, OR"
426,Kentucky Supreme Court,Kentucky Supreme Court,S,"Kentucky, KY"
427,Baltimore City Circuit Court,Baltimore City Circuit Court,ST,"Maryland, MD"
428,"Chatham Superior Court, Ga.","Chatham Superior Court, Ga.",ST,"Georgia, GA"
429,"Harris County Superior Court, Ga.","Harris County Superior Court, Ga.",ST,"Georgia, GA"
430,"Meriwether County Superior Court, Ga.","Meriwether County Superior Court, Ga.",ST,"Georgia, GA"
431,Supreme Judicial Court of Maine,Supreme Judicial Court of Maine,S,"Maine, ME"
432,Court of Chancery of South Carolina,Court of Chancery of South Carolina,ST,"South Carolina, SC"
433,Rhode Island Vice Admiralty Court,Rhode Island Vice Admiralty Court,SS,"Rhode Island, RI"
434,Fort Peck Appellate Court,Fort Peck Appellate Court,TRA,"Montana, MT"
435,Tulalip Court of Appeals,Tulalip Court of Appeals,TRA,"Washington, WA"
436,Grand Ronde Tribal Court,Grand Ronde Tribal Court,TRT,"Oregon, OR"
437,Oneida Appellate Court,Oneida Appellate Court,TRA,"Wisconsin, WI"
438,Warren County Circuit Court,Warren County Circuit Court,ST,"Mississippi, MS"
439,Washington County Circuit Court,Washington County Circuit Court,ST,"This could refer to multiple states as there is a Washington County in several states, including but not limited to: Oregon, OR; Maryland, MD; Arkansas, AR; and Wisconsin, WI."
440,Montgomery County Circuit Court,Montgomery County Circuit Court,ST,"Alabama, AL"
441,Florida Third District Court of Appeal,Florida Third District Court of Appeal,SA,"Florida, FL"
442,Hawaii Intermediate Court of Appeals,Hawaii Intermediate Court of Appeals,SA,"Hawaii, HI"
443,New Jersey Circuit Court,New Jersey Circuit Court,SA,"New Jersey, NJ"
444,Nebraska Court of Appeals,Nebraska Court of Appeals,SA,"Nebraska, NE"
445,Int. Ct. of App. of W.Va.,Intermediate Court of Appeals of West Virginia,SA,"West Virginia, WV"
446,Court of International Trade,United States Court of International Trade,FS,"USA, Federal"
447,Court of Appeals of Arizona,Court of Appeals of Arizona,SA,"Arizona, AZ"
448,California Court of Appeal,California Court of Appeal,SA,"California, CA"
449,Maryland Attorney General Reports,Maryland Attorney General Reports,SAG,"Maryland, MD"
450,Superior Court of Delaware,Superior Court of Delaware,SA,"Delaware, DE"
451,Texas Supreme Court,Texas Supreme Court,S,"Texas, TX"
452,Court of Criminal Appeals of Tennessee,Court of Criminal Appeals of Tennessee,SA,"Tennessee, TN"
453,Court of Appeals of Washington,Court of Appeals of Washington,SA,"Washington, WA"
454,Washington Supreme Court,Washington Supreme Court,S,"Washington, WA"
455,Alaska Supreme Court,Alaska Supreme Court,S,"Alaska, AK"
456,Wyoming Supreme Court,Wyoming Supreme Court,S,"Wyoming, WY"
457,Idaho Supreme Court,Idaho Supreme Court,S,"Idaho, ID"
458,D. Arizona,"United States Bankruptcy Court, D. Arizona",FB,"Arizona, AZ"
459,New Mexico Court of Appeals,New Mexico Court of Appeals,SA,"New Mexico, NM"
460,New Mexico Supreme Court,New Mexico Supreme Court,S,"New Mexico, NM"
461,D. Nebraska,"United States Bankruptcy Court, D. Nebraska",FB,"Nebraska, NE"
462,Ninth Circuit,United States Bankruptcy Appellate Panel for the Ninth Circuit,FBP,"USA, Federal"
463,Court of Appeals of Alaska,Court of Appeals of Alaska,SA,"Alaska, AK"
464,Alabama Court of Appeals,Alabama Court of Appeals,SA,"Alabama, AL"
465,Arizona Supreme Court,Arizona Supreme Court,S,"Arizona, AZ"
466,W.D. Louisiana,"United States Bankruptcy Court, W.D. Louisiana",FB,"Louisiana, LA"
467,Idaho Court of Appeals,Idaho Court of Appeals,SA,"Idaho, ID"
468,Court of Criminal Appeals of Texas,Court of Criminal Appeals of Texas,SA,"Texas, TX"
469,Court of Appeals of Utah,Court of Appeals of Utah,SA,"Utah, UT"
470,Court of Civil Appeals of Oklahoma,Court of Civil Appeals of Oklahoma,SA,"Oklahoma, OK"
471,Court of Appeals of Kentucky (pre-1976),Court of Appeals of Kentucky (pre-1976),S,"Kentucky, KY"
472,North Dakota Court of Appeals,North Dakota Court of Appeals,SA,"North Dakota, ND"
473,W.D. South Carolina,"District Court, W.D. South Carolina",FD,"South Carolina, SC"
474,D. Guam,"District Court, D. Guam",FD,"USA, Federal"
475,W.D. Arkansas,"United States Bankruptcy Court, W.D. Arkansas",FB,"Arkansas, AR"
476,W.D. New York,"United States Bankruptcy Court, W.D. New York",FB,"New York, NY"
477,W.D. Oklahoma,"United States Bankruptcy Court, W.D. Oklahoma",FB,"Oklahoma, OK"
478,N.D. Florida,"United States Bankruptcy Court, N.D. Florida",FB,"Florida, FL"
479,S.D. Ohio,"United States Bankruptcy Court, S.D. Ohio",FB,"Ohio, OH"
480,E.D. Texas,"United States Bankruptcy Court, E.D. Texas",FB,"Texas, TX"
481,W.D. Virginia,"United States Bankruptcy Court, W.D. Virginia",FB,"Virginia, VA"
482,E.D. North Carolina,"United States Bankruptcy Court, E.D. North Carolina",FB,"North Carolina, NC"
483,N.D. Indiana,"United States Bankruptcy Court, N.D. Indiana",FB,"Indiana, IN"
484,N.D. Texas,"United States Bankruptcy Court, N.D. Texas",FB,"Texas, TX"
485,D. Montana,"United States Bankruptcy Court, D. Montana",FB,"Montana, MT"
486,D. North Dakota,"United States Bankruptcy Court, D. North Dakota",FB,"North Dakota, ND"
487,E.D. Tennessee,"United States Bankruptcy Court, E.D. Tennessee",FB,"Tennessee, TN"
488,D. Oregon,"United States Bankruptcy Court, D. Oregon",FB,"Oregon, OR"
489,Merit Systems Protection Board,Merit Systems Protection Board,FS,"USA, Federal"
490,S.D. Iowa,"United States Bankruptcy Court, S.D. Iowa",FB,"Iowa, IA"
491,S.D. Mississippi,"United States Bankruptcy Court, S.D. Mississippi",FB,"Mississippi, MS"
492,N.D. New York,"United States Bankruptcy Court, N.D. New York",FB,"New York, NY"
493,D. Colorado,"United States Bankruptcy Court, D. Colorado",FB,"Colorado, CO"
494,Armed Services Board of Contract Appeals,Armed Services Board of Contract Appeals,FS,"USA, Federal"
495,D. Vermont,"United States Bankruptcy Court, D. Vermont",FB,"Vermont, VT"
496,E.D. Missouri,"United States Bankruptcy Court, E.D. Missouri",FB,"Missouri, MO"
497,W.D. Washington,"United States Bankruptcy Court, W.D. Washington",FB,"Washington, WA"
498,W.D. Wisconsin,"United States Bankruptcy Court, W.D. Wisconsin",FB,"Wisconsin, WI"
499,W.D. Tennessee,"United States Bankruptcy Court, W.D. Tennessee",FB,"Tennessee, TN"
500,D. South Dakota,"United States Bankruptcy Court, D. South Dakota",FB,"South Dakota, SD"
501,D. Maryland,"United States Bankruptcy Court, D. Maryland",FB,"Maryland, MD"
502,S.D. California,"United States Bankruptcy Court, S.D. California",FB,"California, CA"
503,D. New Mexico,"United States Bankruptcy Court, D. New Mexico",FB,"New Mexico, NM"
504,W.D. Missouri,"United States Bankruptcy Court, W.D. Missouri",FB,"Missouri, MO"
505,First Circuit,Bankruptcy Appellate Panel of the First Circuit,FBP,"USA, Federal"
506,Court on the Judiciary of Delaware,Court on the Judiciary of Delaware.,SS,"Delaware, DE"
507,M.D. Georgia,"United States Bankruptcy Court, M.D. Georgia",FB,"Georgia, GA"
508,D. New Jersey,"United States Bankruptcy Court, D. New Jersey",FB,"New Jersey, NJ"
509,S.D. Indiana,"United States Bankruptcy Court, S.D. Indiana",FB,"Indiana, IN"
510,M.D. Tennessee,"United States Bankruptcy Court, M.D. Tennessee",FB,"Tennessee, TN"
511,E.D. Arkansas,"United States Bankruptcy Court, E.D. Arkansas",FB,"Arkansas, AR"
512,Tenth Circuit,Bankruptcy Appellate Panel of the Tenth Circuit,FBP,"USA, Federal"
513,N.D. Oklahoma,"United States Bankruptcy Court, N.D. Oklahoma",FB,"Oklahoma, OK"
514,M.D. Louisiana,"United States Bankruptcy Court, M.D. Louisiana",FB,"Louisiana, LA"
515,D. Alaska,"District Court, D. Alaska",FD,"Alaska, AK"
516,Delaware Court of Common Pleas,Delaware Court of Common Pleas,SS,"Delaware, DE"
517,Board of Veterans' Appeals,Board of Veterans' Appeals,FS,"USA, Federal"
518,Arkansas Attorney General Reports,Arkansas Attorney General Reports,SAG,"Arkansas, AR"
519,California Attorney General Reports,California Attorney General Reports,SAG,"California, CA"
