,court_short_name,court_full_name,court_jurisdiction,jurisdiction
906,Lackawanna County Court of Quarter Sessions,Lackawanna County Court of Quarter Sessions,ST,"Pennsylvania, PA"
907,Mercer County Court of Quarter Sessions,Mercer County Court of Quarter Sessions,ST,"Pennsylvania, PA"
908,Bucks County Court of Quarter Sessions,Bucks County Court of Quarter Sessions,ST,"Pennsylvania, PA"
909,Beaver County Court of Quarter Sessions,Beaver County Court of Quarter Sessions,ST,"Pennsylvania, PA"
910,U.S. Circuit Court for New York,U.S. Circuit Court for New York,FA,"New York, NY"
911,Bristol County Circuit Court,Bristol County Circuit Court,ST,"Massachusetts, MA"
912,Stafford County Circuit Court,Stafford County Circuit Court,ST,"Virginia, VA"
913,Scott County Circuit Court,Scott County Circuit Court,ST,"Kentucky, KY"
914,D. Kentucky,"District Court, D. Kentucky",FD,"Kentucky, KY"
915,Hancock Circuit Court,Hancock Circuit Court,ST,"Indiana, IN"
916,Middlesex County Superior Court,Middlesex County Superior Court,ST,"Massachusetts, MA"
917,Eastern Band of Cherokee Indians Supreme Court,Eastern Band of Cherokee Indians Supreme Court,TRS,"North Carolina, NC"
918,Judicial Council of The Eighth Circuit,Judicial Council of The Eighth Circuit,FS,"USA, Federal"
919,U.S. Circuit Court for the District of Northern Mississippi,U.S. Circuit Court for the District of Northern Mississippi,FA,"Mississippi, MS"
920,D. Illinois,"District Court, D. Illinois",FD,"Illinois, IL"
921,Mississippi Chancery Courts,Mississippi Chancery Courts,ST,"Mississippi, MS"
922,Greene County Court of Common Pleas,Greene County Court of Common Pleas,ST,"Ohio, OH"
923,Henry County Circuit Court,Henry County Circuit Court,ST,"Alabama, AL"
924,Second Circuit,Bankruptcy Appellate Panel of the Second Circuit,FBP,"USA, Federal"
925,Florida Industrial Commission,Florida Industrial Commission,SS,"Florida, FL"
926,Indian River County Circuit Court,"Circuit Court of the 19th Judicial Circuit of Florida, Indian River County",ST,"Florida, FL"
927,Brevard County Court of Record,Brevard County Civil and Criminal Court of Record,ST,"Florida, FL"
928,Monroe County Circuit Court,"Circuit Court of the 16th Judicial Circuit of Florida, Monroe County",ST,"Florida, FL"
929,Hillsborough County Court,Hillsborough County Court,ST,"Florida, FL"
930,New York Circuit Court,New York Circuit Court,ST,"New York, NY"
931,Middletown City Court,Middletown City Court,ST,"New York, NY"
932,Poughkeepsie Justice Court,Poughkeepsie Justice Court,ST,"New York, NY"
933,Armstrong County Orphans' Court,"Pennsylvania Orphans' Court, Armstrong County",ST,"Pennsylvania, PA"
934,Northampton County Orphans' Court,"Pennsylvania Orphans' Court, Northampton County",ST,"Pennsylvania, PA"
935,Tioga County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Tioga County",ST,"Pennsylvania, PA"
936,Cambria County Orphans' Court,"Pennsylvania Orphans' Court, Cambria County",ST,"Pennsylvania, PA"
937,Forest County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Forest County",ST,"Pennsylvania, PA"
938,Union County Court,Union County Court,ST,"New Jersey, NJ"
939,Licking Circuit Court,Licking Circuit Court,ST,"Kentucky, KY"
940,Knox County Court of Common Pleas,Knox County Court of Common Pleas,ST,"Ohio, OH"
941,Montgomery County Probate Court,Montgomery County Probate Court,ST,"Alabama, AL"
942,Geauga County Court of Common Pleas,Geauga County Court of Common Pleas,ST,"Ohio, OH"
943,Madison County Court of Common Pleas,Madison County Court of Common Pleas,ST,"Ohio, OH"
944,Miami County Court of Common Pleas,Miami County Court of Common Pleas,ST,"Ohio, OH"
945,Cuyahoga County Juvenile Court,Cuyahoga County Juvenile Court,ST,"Ohio, OH"
946,Darke County Court of Common Pleas,Darke County Court of Common Pleas,ST,"Ohio, OH"
947,"Clackamas County Circuit Court, Oregon","Clackamas County Circuit Court, Oregon",ST,"Oregon, OR"
948,Clinton County Court of Quarter Sessions,Clinton County Court of Quarter Sessions,ST,"Pennsylvania, PA"
949,Susquehanna County Court of Quarter Sessions,Susquehanna County Court of Quarter Sessions,ST,"Pennsylvania, PA"
950,Cumberland County Court of Quarter Sessions,Cumberland County Court of Quarter Sessions,ST,"Pennsylvania, PA"
951,State of California Commission On Judicial Performance,State of California Commission On Judicial Performance,C,"California, CA"
952,Lynchburg County Circuit Court,Lynchburg County Circuit Court,ST,"Virginia, VA"
953,Halifax County Circuit Court,Halifax County Circuit Court,ST,"Virginia, VA"
954,"Bristol Corporation Court, Va.","Bristol Corporation Court, Va.",ST,"Virginia, VA"
955,Campbell County Circuit Court,Campbell County Circuit Court,ST,"Kentucky, KY"
956,Nelson County Circuit Court,Nelson County Circuit Court,ST,"Kentucky, KY"
957,Hanover County Circuit Court,Hanover County Circuit Court,ST,"Virginia, VA"
958,New York Magistrate Court,New York Magistrate Court,ST,"New York, NY"
959,Mercer County Superior Court,Mercer County Superior Court,ST,"New Jersey, NJ"
960,Henry Circuit Court,Henry Circuit Court,ST,"Indiana, IN"
961,"Coweta County Superior Court, Ga.","Coweta County Superior Court, Ga.",ST,"Georgia, GA"
962,"Massachusetts Superior Court, Berkshire County","Massachusetts Superior Court, Berkshire County",ST,"Massachusetts, MA"
963,Little Traverse Bay Bands of Odawa Indians Tribal Appellate Court,Little Traverse Bay Bands of Odawa Indians Tribal Appellate Court,TRA,"Michigan, MI"
964,Carroll County Circuit Court,Carroll County Circuit Court,ST,"Arkansas, AR"
965,Essex County Circuit Court,Essex County Circuit Court,ST,"New Jersey, NJ"
966,Foreign Intelligence Surveillance Court,Foreign Intelligence Surveillance Court,FS,"USA, Federal"
967,Florida Real Estate Commission,Florida Real Estate Commission,SS,"Florida, FL"
968,Dade County Small Claims Court,Dade County Small Claims Court,ST,"Florida, FL"
969,Pinellas County Court,Pinellas County Court,ST,"Florida, FL"
970,St. Lucie County Circuit Court,"Circuit Court of the 19th Judicial Circuit of Florida, St. Lucie County",ST,"Florida, FL"
971,Franklin County Court,Franklin County Court,ST,"Ohio, OH"
972,Yuba District Court,Yuba District Court,ST,"California, CA"
973,Monroe County Court,Monroe County Court,ST,"New York, NY"
974,Rensselaer County Court,"New York County Court, Rensselaer County",ST,"New York, NY"
975,"New York Circuit Court, Kings County","New York Circuit Court, Kings County",ST,"New York, NY"
976,Tuckahoe Justice Court,Justice Court of Village of Tuckahoe,ST,"New York, NY"
977,Sleepy Hollow Justice Court,Justice Court of Village of Sleepy Hollow,ST,"New York, NY"
978,Harrisburg County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Harrisburg County",ST,"Pennsylvania, PA"
979,Morrow Circuit Court,Morrow Circuit Court,ST,"Georgia, GA"
980,Brown Circuit Court,Brown Circuit Court,ST,"Indiana, IN"
981,Van Wert Circuit Court,Van Wert Circuit Court,ST,"Ohio, OH"
982,Pickaway Circuit Court,Pickaway Circuit Court,ST,"Ohio, OH"
983,Board of Commissioners On The Unauthorized Practice of Law State of Ohio,Board of Commissioners On The Unauthorized Practice of Law State of Ohio,C,"Ohio, OH"
984,Brown County Court of Common Pleas,Brown County Court of Common Pleas,ST,"Ohio, OH"
985,Clearfield County Court of Quarter Sessions,Clearfield County Court of Quarter Sessions,ST,"Pennsylvania, PA"
986,Lehigh County Court of Quarter Sessions,Lehigh County Court of Quarter Sessions,ST,"Pennsylvania, PA"
987,"Court of Appeals of Ohio, Fifth District, Licking County","Court of Appeals of Ohio, Fifth District, Licking County",ST,"Ohio, OH"
988,D. North Carolina,"District Court, D. North Carolina",FD,"North Carolina, NC"
989,Fredericksburg County Circuit Court,Fredericksburg County Circuit Court,ST,"Virginia, VA"
990,Fluvanna County Circuit Court,Fluvanna County Circuit Court,ST,"Virginia, VA"
991,Danville County Circuit Court,Danville County Circuit Court,ST,"Virginia, VA"
992,Morris County Superior Court,Morris County Superior Court,ST,"New Jersey, NJ"
993,U.S. Circuit Court for the District of Idaho,U.S. Circuit Court for the District of Idaho,FA,"Idaho, ID"
994,Circuit Court of the 6th Circuit of Michigan,Circuit Court of the 6th Circuit of Michigan,ST,"Michigan, MI"
995,Circuit Court of the 2nd Circuit of Michigan,Circuit Court of the 2nd Circuit of Michigan,ST,"Michigan, MI"
996,"Oneida Tribal Judicial System, Trial Court","Oneida Tribal Judicial System, Trial Court",TRT,"Wisconsin, WI"
997,Clarke County Circuit Court,Clarke County Circuit Court,ST,"Mississippi, MS"
998,D. Virgin Islands,"United States Bankruptcy Court, D. Virgin Islands",FB,"USA, Federal"
999,Volusia County Circuit Court,"Circuit Court of the 7th Judicial Circuit of Florida, Volusia County",ST,"Florida, FL"
